dataset,partition,partition_name,kernel,timestamp,n,features,shape,density,dim_level,size_level,condition,source,anom_rate,auc_mean,auc_std,auc_min,auc_max,fit_time_s,transform_time_s,score_time_s,total_time_s,fit_time_std,auc_per_sec,phi_width,phi_ones_per_point_per_estimator,phi_ones_per_point_per_estimator_normal,phi_ones_per_point_per_estimator_anomaly,n_estimators,max_samples,n_runs
breast_cancer,anne,Voronoi (aNNE),ik,2026-05-23 17:23:25,569,30,spherical,uniform,mid,medium,1,sklearn,62.74,0.309,0.0305,0.2566,0.3399,0.0626,0.5713,0.4951,1.129,0.0131,0.2736,3200,1.0,1.0,1.0,200,16,5
breast_cancer,iforest,Axis-parallel (iForest),ik,2026-05-23 17:23:25,569,30,spherical,uniform,mid,medium,1,sklearn,62.74,0.158,0.0164,0.1416,0.1826,0.5661,0.2732,0.3272,1.1665,0.0806,0.1355,1794,1.0,1.0,1.0,200,16,5
breast_cancer,iforest,Axis-parallel (iForest),idk,2026-05-23 17:23:28,569,30,spherical,uniform,mid,medium,1,sklearn,62.74,0.158,0.0164,0.1416,0.1826,0.7759,0.2182,0.7353,1.7294,0.2808,0.0914,1794,1.0,1.0,1.0,200,16,5
breast_cancer,anne,Voronoi (aNNE),idk,2026-05-23 17:23:28,569,30,spherical,uniform,mid,medium,1,sklearn,62.74,0.309,0.0305,0.2566,0.3399,0.0727,0.4793,1.2041,1.7562,0.0171,0.1759,3200,1.0,1.0,1.0,200,16,5
wbc_uci,anne,Voronoi (aNNE),ik,2026-05-23 17:23:36,699,9,spherical,uniform,mid,small,1,UCI,34.48,0.8902,0.0113,0.8784,0.9079,0.0656,0.7242,0.7495,1.5393,0.0104,0.5783,3200,1.0,1.0,1.0,200,16,5
wbc_uci,anne,Voronoi (aNNE),idk,2026-05-23 17:23:40,699,9,spherical,uniform,mid,small,1,UCI,34.48,0.8902,0.0113,0.8784,0.9079,0.0713,0.5977,1.7362,2.4051,0.0168,0.3701,3200,1.0,1.0,1.0,200,16,5
breast_cancer,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-23 17:24:12,569,30,spherical,uniform,mid,medium,1,sklearn,62.74,0.8891,0.0256,0.8388,0.9058,3.5611,3.8928,3.1908,10.6447,1.2399,0.0835,3200,0.3463,0.5086,0.2499,200,16,5
breast_cancer,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-23 17:24:18,569,30,spherical,uniform,mid,medium,1,sklearn,62.74,0.4586,0.03,0.4019,0.49,3.5375,3.3299,4.8099,11.6773,1.1554,0.0393,3200,0.3463,0.5086,0.2499,200,16,5
breast_cancer,inne,Hypersphere (iNNE),ik,2026-05-23 17:24:29,569,30,spherical,uniform,mid,medium,1,sklearn,62.74,0.9068,0.0346,0.8461,0.938,2.6804,4.7378,6.4924,13.9106,1.5454,0.0652,3200,0.0868,0.1455,0.052,200,16,5
breast_cancer,inne,Hypersphere (iNNE),idk,2026-05-23 17:24:33,569,30,spherical,uniform,mid,medium,1,sklearn,62.74,0.8963,0.0523,0.7997,0.9387,2.6306,5.6098,6.5576,14.798,1.5439,0.0606,3200,0.0868,0.1455,0.052,200,16,5
wbc_uci,inne,Hypersphere (iNNE),ik,2026-05-23 17:24:39,699,9,spherical,uniform,mid,small,1,UCI,34.48,0.0505,0.0044,0.046,0.0574,2.4408,4.8383,5.4044,12.6835,0.2877,0.004,3200,0.2467,0.1651,0.4017,200,16,5
wbc_uci,iforest,Axis-parallel (iForest),ik,2026-05-23 17:24:39,699,9,spherical,uniform,mid,small,1,UCI,34.48,0.9933,0.0004,0.9927,0.9936,1.2171,0.3994,0.4758,2.0923,0.1899,0.4747,1757,1.0,1.0,1.0,200,16,5
wbc_uci,iforest,Axis-parallel (iForest),idk,2026-05-23 17:24:50,699,9,spherical,uniform,mid,small,1,UCI,34.48,0.9933,0.0004,0.9927,0.9936,1.3629,0.3934,1.4964,3.2528,0.1874,0.3054,1757,1.0,1.0,1.0,200,16,5
wbc_uci,inne,Hypersphere (iNNE),idk,2026-05-23 17:24:50,699,9,spherical,uniform,mid,small,1,UCI,34.48,0.0397,0.0031,0.0351,0.0436,3.0475,5.1689,5.6615,13.8778,0.7318,0.0029,3200,0.2467,0.1651,0.4017,200,16,5
breastw,anne,Voronoi (aNNE),ik,2026-05-23 17:24:57,683,9,spherical,uniform,low,small,1,ADBench,34.99,0.8889,0.0188,0.8655,0.9069,0.0543,0.6602,0.6892,1.4037,0.0081,0.6332,3200,1.0,1.0,1.0,200,16,5
breastw,anne,Voronoi (aNNE),idk,2026-05-23 17:25:00,683,9,spherical,uniform,low,small,1,ADBench,34.99,0.8889,0.0188,0.8655,0.9069,0.0543,0.6218,1.3585,2.0345,0.0043,0.4369,3200,1.0,1.0,1.0,200,16,5
wbc_uci,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-23 17:25:01,699,9,spherical,uniform,mid,small,1,UCI,34.48,0.0238,0.0015,0.0219,0.0257,2.2857,3.8995,3.4609,9.6461,0.655,0.0025,3200,0.62,0.4022,1.0339,200,16,5
wbc_uci,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-23 17:25:08,699,9,spherical,uniform,mid,small,1,UCI,34.48,0.3384,0.0981,0.1523,0.4285,1.9388,3.4036,4.6081,9.9505,0.2517,0.034,3200,0.62,0.4022,1.0339,200,16,5
breastw,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-23 17:25:40,683,9,spherical,uniform,low,small,1,ADBench,34.99,0.0243,0.0043,0.0188,0.032,1.7776,2.9326,3.1687,7.879,0.1047,0.0031,3200,0.6674,0.4355,1.0982,200,16,5
breastw,inne,Hypersphere (iNNE),ik,2026-05-23 17:25:44,683,9,spherical,uniform,low,small,1,ADBench,34.99,0.052,0.0055,0.0442,0.0607,1.6363,3.7731,3.8998,9.3092,0.1636,0.0056,3200,0.2525,0.1675,0.4103,200,16,5
breastw,iforest,Axis-parallel (iForest),ik,2026-05-23 17:25:52,683,9,spherical,uniform,low,small,1,ADBench,34.99,0.9945,0.0008,0.993,0.9952,1.2883,0.4054,0.5866,2.2804,0.207,0.4361,1765,1.0,1.0,1.0,200,16,5
breastw,inne,Hypersphere (iNNE),idk,2026-05-23 17:25:55,683,9,spherical,uniform,low,small,1,ADBench,34.99,0.0424,0.003,0.0379,0.0451,1.8061,4.0368,5.1597,11.0026,0.1474,0.0038,3200,0.2525,0.1675,0.4103,200,16,5
breastw,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-23 17:25:57,683,9,spherical,uniform,low,small,1,ADBench,34.99,0.3392,0.0893,0.2382,0.4833,1.6706,3.6322,4.4721,9.7749,0.2553,0.0347,3200,0.6674,0.4355,1.0982,200,16,5
wbc,anne,Voronoi (aNNE),ik,2026-05-23 17:26:01,223,9,spherical,uniform,mid,small,1,ADBench,4.48,0.98,0.0036,0.9758,0.9864,0.0505,0.3844,0.439,0.8739,0.0086,1.1215,3200,1.0,1.0,1.0,200,16,5
breastw,iforest,Axis-parallel (iForest),idk,2026-05-23 17:26:02,683,9,spherical,uniform,low,small,1,ADBench,34.99,0.9945,0.0008,0.993,0.9952,1.5289,0.4381,1.6288,3.5958,0.3595,0.2766,1765,1.0,1.0,1.0,200,16,5
wbc,anne,Voronoi (aNNE),idk,2026-05-23 17:26:04,223,9,spherical,uniform,mid,small,1,ADBench,4.48,0.98,0.0036,0.9758,0.9864,0.0469,0.2176,0.3321,0.5966,0.0063,1.6425,3200,1.0,1.0,1.0,200,16,5
wbc,inne,Hypersphere (iNNE),ik,2026-05-23 17:26:17,223,9,spherical,uniform,mid,small,1,ADBench,4.48,0.0162,0.0011,0.015,0.0183,1.1149,0.861,1.004,2.9798,0.0555,0.0054,3200,0.105,0.0918,0.3864,200,16,5
wbc,inne,Hypersphere (iNNE),idk,2026-05-23 17:26:20,223,9,spherical,uniform,mid,small,1,ADBench,4.48,0.0174,0.0012,0.0164,0.0197,1.2144,0.9103,1.1362,3.261,0.0813,0.0053,3200,0.105,0.0918,0.3864,200,16,5
wbc,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-23 17:26:31,223,9,spherical,uniform,mid,small,1,ADBench,4.48,0.2262,0.0231,0.1836,0.2469,1.2753,0.6572,0.8306,2.7631,0.3525,0.0819,3200,0.4603,0.4531,0.6134,200,16,5
wbc,iforest,Axis-parallel (iForest),ik,2026-05-23 17:26:34,223,9,spherical,uniform,mid,small,1,ADBench,4.48,0.995,0.0007,0.9941,0.9958,0.5108,0.1203,0.1318,0.7628,0.0705,1.3044,1661,1.0,1.0,1.0,200,16,5
wbc,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-23 17:26:44,223,9,spherical,uniform,mid,small,1,ADBench,4.48,0.713,0.0404,0.6559,0.7784,1.5111,1.4482,1.6845,4.6438,0.5004,0.1535,3200,0.4603,0.4531,0.6134,200,16,5
wbc,iforest,Axis-parallel (iForest),idk,2026-05-23 17:26:45,223,9,spherical,uniform,mid,small,1,ADBench,4.48,0.995,0.0007,0.9941,0.9958,1.042,0.3347,0.785,2.1617,0.3739,0.4603,1661,1.0,1.0,1.0,200,16,5
wbc,sciforest,Random hyperplane (SCiForest),ik,2026-05-23 17:31:02,223,9,spherical,uniform,mid,small,1,ADBench,4.48,0.993,0.0014,0.9911,0.9953,19.301,16.0229,16.2577,51.5816,0.6499,0.0193,2393,1.0,1.0,1.0,200,16,5
wbc,sciforest,Random hyperplane (SCiForest),idk,2026-05-23 17:31:05,223,9,spherical,uniform,mid,small,1,ADBench,4.48,0.993,0.0014,0.9911,0.9953,19.0829,16.1609,16.6145,51.8583,0.4672,0.0191,2393,1.0,1.0,1.0,200,16,5
ionosphere,anne,Voronoi (aNNE),ik,2026-05-23 17:31:11,351,32,elliptical,uniform,mid,small,2,ADBench,35.9,0.3889,0.0126,0.3694,0.4063,0.0517,0.8449,0.8859,1.7825,0.0039,0.2182,3200,1.0,1.0,1.0,200,16,5
ionosphere,anne,Voronoi (aNNE),idk,2026-05-23 17:31:16,351,32,elliptical,uniform,mid,small,2,ADBench,35.9,0.3889,0.0126,0.3694,0.4063,0.0494,0.803,1.3101,2.1626,0.0017,0.1798,3200,1.0,1.0,1.0,200,16,5
ionosphere,inne,Hypersphere (iNNE),ik,2026-05-23 17:31:44,351,32,elliptical,uniform,mid,small,2,ADBench,35.9,0.7183,0.0212,0.6809,0.7353,1.6476,2.5816,2.4178,6.6471,0.0673,0.1081,3200,0.2854,0.3274,0.2103,200,16,5
ionosphere,inne,Hypersphere (iNNE),idk,2026-05-23 17:31:54,351,32,elliptical,uniform,mid,small,2,ADBench,35.9,0.6976,0.0248,0.6566,0.7234,1.8102,2.8308,3.1087,7.7498,0.2024,0.09,3200,0.2854,0.3274,0.2103,200,16,5
ionosphere,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-23 17:32:37,351,32,elliptical,uniform,mid,small,2,ADBench,35.9,0.7361,0.0045,0.7306,0.7436,1.5863,4.0195,4.9194,10.5252,0.0513,0.0699,3200,4.4551,4.7567,3.9165,200,16,5
ionosphere,iforest,Axis-parallel (iForest),ik,2026-05-23 17:32:47,351,32,elliptical,uniform,mid,small,2,ADBench,35.9,0.7891,0.0068,0.7801,0.7974,1.2646,0.3498,0.3684,1.9829,0.2219,0.398,1815,1.0,1.0,1.0,200,16,5
ionosphere,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-23 17:32:57,351,32,elliptical,uniform,mid,small,2,ADBench,35.9,0.5135,0.0148,0.4904,0.5328,1.8368,4.7801,5.9731,12.5901,0.2485,0.0408,3200,4.4551,4.7567,3.9165,200,16,5
ionosphere,iforest,Axis-parallel (iForest),idk,2026-05-23 17:33:02,351,32,elliptical,uniform,mid,small,2,ADBench,35.9,0.7891,0.0068,0.7801,0.7974,1.4325,0.4115,1.2246,3.0687,0.0598,0.2571,1815,1.0,1.0,1.0,200,16,5
breast_cancer,sciforest,Random hyperplane (SCiForest),idk,2026-05-23 17:33:35,569,30,spherical,uniform,mid,medium,1,sklearn,62.74,0.3715,0.0565,0.2923,0.4414,40.7939,37.759,43.2882,121.8411,8.4349,0.003,3109,1.0,1.0,1.0,200,16,5
syn_moons_ad,anne,Voronoi (aNNE),ik,2026-05-23 17:33:47,1000,2,crescent,uniform,low,medium,3,sklearn_gen,5.0,0.9044,0.0172,0.8837,0.9275,0.0556,1.1145,1.2141,2.3842,0.0063,0.3793,3200,1.0,1.0,1.0,200,16,5
breast_cancer,sciforest,Random hyperplane (SCiForest),ik,2026-05-23 17:33:54,569,30,spherical,uniform,mid,medium,1,sklearn,62.74,0.3715,0.0565,0.2923,0.4414,41.0158,40.8381,43.9771,125.831,8.6227,0.003,3109,1.0,1.0,1.0,200,16,5
syn_moons_ad,anne,Voronoi (aNNE),idk,2026-05-23 17:34:05,1000,2,crescent,uniform,low,medium,3,sklearn_gen,5.0,0.9044,0.0172,0.8837,0.9275,0.0601,0.8853,2.5872,3.5326,0.0097,0.256,3200,1.0,1.0,1.0,200,16,5
syn_moons_ad,inne,Hypersphere (iNNE),ik,2026-05-23 17:34:53,1000,2,crescent,uniform,low,medium,3,sklearn_gen,5.0,0.9436,0.0209,0.9169,0.9707,1.7603,4.9412,5.0637,11.7653,0.188,0.0802,3200,0.0581,0.0596,0.0281,200,16,5
syn_moons_ad,inne,Hypersphere (iNNE),idk,2026-05-23 17:35:11,1000,2,crescent,uniform,low,medium,3,sklearn_gen,5.0,0.9473,0.0175,0.9287,0.9717,1.9107,4.9117,6.4694,13.2918,0.1047,0.0713,3200,0.0581,0.0596,0.0281,200,16,5
syn_moons_ad,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-23 17:35:31,1000,2,crescent,uniform,low,medium,3,sklearn_gen,5.0,0.9436,0.0209,0.9169,0.9707,1.8531,2.7537,2.8942,7.501,0.1464,0.1258,3200,0.0581,0.0596,0.0281,200,16,5
syn_moons_ad,iforest,Axis-parallel (iForest),ik,2026-05-23 17:35:44,1000,2,crescent,uniform,low,medium,3,sklearn_gen,5.0,0.8789,0.0086,0.871,0.8954,1.4242,0.4387,0.6734,2.5362,0.4523,0.3465,1950,1.0,1.0,1.0,200,16,5
syn_moons_ad,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-23 17:36:00,1000,2,crescent,uniform,low,medium,3,sklearn_gen,5.0,0.9473,0.0175,0.9287,0.9717,1.6877,3.1959,4.7417,9.6253,0.2169,0.0984,3200,0.0581,0.0596,0.0281,200,16,5
syn_moons_ad,iforest,Axis-parallel (iForest),idk,2026-05-23 17:36:08,1000,2,crescent,uniform,low,medium,3,sklearn_gen,5.0,0.8789,0.0086,0.871,0.8954,1.5643,0.6351,2.5031,4.7026,0.3871,0.1869,1950,1.0,1.0,1.0,200,16,5
wbc_uci,sciforest,Random hyperplane (SCiForest),ik,2026-05-23 17:36:39,699,9,spherical,uniform,mid,small,1,UCI,34.48,0.9926,0.0009,0.9911,0.9937,47.0494,48.4753,48.2938,143.8185,1.0261,0.0069,2249,1.0,1.0,1.0,200,16,5
vowels,anne,Voronoi (aNNE),ik,2026-05-23 17:36:48,1456,12,irregular,uniform,low,medium,3,ADBench,3.43,0.9204,0.0241,0.8841,0.9473,0.0578,0.7908,0.9534,1.8019,0.0057,0.5108,3200,1.0,1.0,1.0,200,16,5
wbc_uci,sciforest,Random hyperplane (SCiForest),idk,2026-05-23 17:37:01,699,9,spherical,uniform,mid,small,1,UCI,34.48,0.9926,0.0009,0.9911,0.9937,48.1151,48.0934,52.0519,148.2604,2.0419,0.0067,2249,1.0,1.0,1.0,200,16,5
vowels,anne,Voronoi (aNNE),idk,2026-05-23 17:37:05,1456,12,irregular,uniform,low,medium,3,ADBench,3.43,0.9204,0.0241,0.8841,0.9473,0.0586,0.7441,2.5735,3.3762,0.0039,0.2726,3200,1.0,1.0,1.0,200,16,5
breastw,sciforest,Random hyperplane (SCiForest),ik,2026-05-23 17:37:45,683,9,spherical,uniform,low,small,1,ADBench,34.99,0.9938,0.0007,0.9929,0.9944,48.607,47.2893,46.646,142.5423,3.0589,0.007,2254,1.0,1.0,1.0,200,16,5
breastw,sciforest,Random hyperplane (SCiForest),idk,2026-05-23 17:37:49,683,9,spherical,uniform,low,small,1,ADBench,34.99,0.9938,0.0007,0.9929,0.9944,48.2485,46.3291,48.0597,142.6373,3.2406,0.007,2254,1.0,1.0,1.0,200,16,5
vowels,inne,Hypersphere (iNNE),ik,2026-05-23 17:37:50,1456,12,irregular,uniform,low,medium,3,ADBench,3.43,0.8865,0.0277,0.8437,0.927,1.7588,3.9279,4.13,9.8167,0.1382,0.0903,3200,0.1021,0.1038,0.052,200,16,5
