dataset,partition,partition_name,kernel,timestamp,n,features,n_clusters,shape,density,dim_level,size_level,condition,source,ari_mean,ari_std,ari_min,ari_max,nmi_mean,nmi_std,fit_time_s,transform_time_s,kernel_time_s,total_time_s,fit_time_std,ari_per_sec,nmi_per_sec,phi_width,phi_ones_per_point_per_estimator,n_estimators,max_samples,n_runs
iris,anne,Voronoi (aNNE),ik,2026-05-25 17:14:37,150,4,3,spherical,uniform,low,small,1,sklearn,0.8439,0.0574,0.7445,0.9038,0.8361,0.0396,0.4688,0.1214,0.1974,0.7876,0.2237,1.0715,1.0616,3200,1.0,200,16,5
iris,anne,Voronoi (aNNE),idk,2026-05-25 17:14:37,150,4,3,spherical,uniform,low,small,1,sklearn,0.8439,0.0574,0.7445,0.9038,0.8361,0.0396,0.5309,0.1007,0.2277,0.8593,0.2198,0.9821,0.973,3200,1.0,200,16,5
iris,iforest,Axis-parallel (iForest),ik,2026-05-25 17:14:40,150,4,3,spherical,uniform,low,small,1,sklearn,0.7152,0.0154,0.6916,0.7323,0.7542,0.0208,1.005,0.1478,0.1881,1.3408,0.2468,0.5334,0.5625,12857,1.0,200,256,5
iris,iforest,Axis-parallel (iForest),idk,2026-05-25 17:14:40,150,4,3,spherical,uniform,low,small,1,sklearn,0.7152,0.0154,0.6916,0.7323,0.7542,0.0208,0.9669,0.169,0.1746,1.3105,0.2371,0.5458,0.5755,12857,1.0,200,256,5
wine,anne,Voronoi (aNNE),idk,2026-05-25 17:14:46,178,13,3,spherical,uniform,low,small,1,sklearn,0.8954,0.0068,0.8819,0.8992,0.8705,0.0104,0.3834,0.2596,0.267,0.91,0.0662,0.9839,0.9566,3200,1.0,200,16,5
wine,anne,Voronoi (aNNE),ik,2026-05-25 17:14:46,178,13,3,spherical,uniform,low,small,1,sklearn,0.8954,0.0068,0.8819,0.8992,0.8705,0.0104,0.3828,0.2626,0.2749,0.9202,0.0682,0.973,0.9459,3200,1.0,200,16,5
iris,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-25 17:15:10,150,4,3,spherical,uniform,low,small,1,sklearn,0.7709,0.0385,0.7302,0.8176,0.7842,0.0175,4.5886,1.6396,1.5565,7.7847,1.8363,0.099,0.1007,3200,1.0871,200,16,5
iris,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-25 17:15:10,150,4,3,spherical,uniform,low,small,1,sklearn,0.7738,0.0358,0.7445,0.8176,0.7881,0.0128,4.5922,1.6532,1.5536,7.799,1.8059,0.0992,0.1011,3200,1.0871,200,16,5
iris,inne,Hypersphere (iNNE),idk,2026-05-25 17:15:10,150,4,3,spherical,uniform,low,small,1,sklearn,0.8642,0.0554,0.7592,0.9222,0.8602,0.0353,4.6332,1.6536,1.5505,7.8373,1.7896,0.1103,0.1098,3200,0.6144,200,16,5
iris,inne,Hypersphere (iNNE),ik,2026-05-25 17:15:11,150,4,3,spherical,uniform,low,small,1,sklearn,0.8642,0.0554,0.7592,0.9222,0.8602,0.0353,4.659,1.6523,1.6128,7.924,1.8206,0.1091,0.1086,3200,0.6144,200,16,5
